,window_id,dur_mean,dur_std,sbytes_mean,sbytes_std,dbytes_mean,dbytes_std,rate_mean,rate_std,sttl_mean,sttl_std,dttl_mean,dttl_std,sinpkt_mean,sinpkt_std,dinpkt_mean,dinpkt_std,smean_mean,smean_std,dmean_mean,dmean_std,service_-_mean,service_dhcp_mean,service_dns_mean,service_ftp_mean,service_ftp-data_mean,service_http_mean,service_irc_mean,service_pop3_mean,service_radius_mean,service_smtp_mean,service_snmp_mean,service_ssh_mean,service_ssl_mean,state_CON_mean,state_ECO_mean,state_FIN_mean,state_INT_mean,state_REQ_mean,state_RST_mean,proto_nunique,window_attack,anomaly_score,predicted,predicted_label,tuned_pred
0,0,0.3178438174926543,0.38346798056676,6.57168071253292,1.1388468997147558,4.251369018869703,3.4099738734304528,5.920870436503229,4.0080422309938175,189.21,98.1731407033286,147.05,124.08846428938097,2.894243282809059,2.538445661961594,2.78646697645006,2.4574460784189904,1.7435326838282654,0.1550760378648899,2.857311712242818,2.291274474047946,0.75,0.0,0.0,0.02,0.0,0.19,0.0,0.0,0.0,0.03,0.01,0.0,0.0,0.04,0.0,0.6,0.36,0.0,0.0,4,0,-0.019631403976484774,-1,1,1
1,1,0.2723404993372314,0.5361341405592671,7.0099899389755125,0.9164838081220892,3.4283527191774748,4.077961695892318,8.423115274725593,3.942507804995399,162.58,110.31023103369456,21.39,49.345390623214,1.5568401207882772,2.7342913731232734,1.4496347329558252,2.621552275328612,1.8542539147516368,0.1643666365479415,2.2618423554668365,2.649988243358671,0.8,0.0,0.05,0.01,0.03,0.1,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.08,0.01,0.36,0.55,0.0,0.0,4,0,-0.05636281147186417,-1,1,1
2,2,0.2701191399951522,0.511045086147424,6.097047259470468,1.2666315792422869,6.447498856257861,1.8522944712754152,6.474862939319287,2.489866069723862,31.0,0.0,29.0,0.0,1.561339779974796,2.4426905953347675,1.4906401354019545,2.394986745264835,1.696387382045655,0.0587903215989065,4.773698223273155,0.7313158830955347,0.46,0.0,0.47,0.0,0.01,0.05,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.69,0.0,0.31,0.0,0.0,0.0,2,0,0.054338034624887954,1,0,0
3,3,0.363758517378751,0.5345915541580684,6.504552300336509,1.2707453721293442,6.984389661775676,1.9123158803472664,5.836960432633054,2.809454649750108,31.0,0.0,29.0,0.0,2.2711821809738093,2.827223407959364,2.1700876883508413,2.7714375844738783,1.704789281946096,0.0650224858286227,4.891290924202704,0.8444475915671605,0.41,0.0,0.33,0.0,0.02,0.23,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.42,0.0,0.58,0.0,0.0,0.0,2,0,0.05337353886221008,1,0,0
4,4,0.6640229400611993,0.6258246807554056,7.218753546523685,0.7618261439734756,7.610471658391897,1.4543994884977216,4.008287030146534,2.882683570478867,31.0,0.0,29.0,0.0,4.08869967126202,3.0387934415177917,3.959000214266045,2.9707060708978204,1.7274748125689263,0.056941286869611,4.88544374983809,0.8207639380468018,0.56,0.0,0.06,0.0,0.02,0.35,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.07,0.0,0.93,0.0,0.0,0.0,2,0,0.0006679076329169087,1,0,1
5,5,0.6740334817550666,0.5210876816602029,7.185943273792951,0.8357853547790693,7.616637948956098,1.3634035204800006,3.7213854225026073,2.5176732167325686,30.69,3.1,28.71,2.9,4.354203860641992,2.5843467031991345,4.196939005174504,2.531195301764879,1.7230443217876132,0.0683885118582713,4.893924033616647,0.8317244050849066,0.52,0.0,0.05,0.02,0.06,0.33,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.06,0.0,0.94,0.0,0.0,0.0,3,0,0.00018553069986537718,1,0,1
6,6,0.6007260616149004,0.3968227251071436,7.231639873622925,0.735305631479248,7.794312685782958,1.3968654984356836,3.636292605860653,1.6174486928287046,31.0,0.0,29.0,0.0,4.1227561844626415,1.793840672947819,3.984473137965564,1.7510264087726233,1.7086716754979152,0.0424254534050927,4.968323554478633,0.808923381117771,0.82,0.0,0.07,0.01,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.89,0.0,0.0,0.0,2,0,0.045941806468490665,1,0,0
7,7,0.7176605429569243,0.3654979811996488,7.500677662181224,0.8979937339113796,7.75885297677554,1.7111727630798943,3.3740184668682365,1.7609293716085872,30.4,4.22115882408869,28.42,4.080453529952401,4.513780297293531,1.7196648062287203,4.227913900955583,1.6700135137994443,1.7222405796505535,0.079155733591012,4.816719860847961,1.0445011633409518,0.85,0.0,0.03,0.01,0.01,0.05,0.0,0.0,0.0,0.04,0.0,0.01,0.0,0.06,0.0,0.92,0.0,0.02,0.0,3,0,0.05221377820482587,1,0,0
8,8,0.7173253043600454,0.2992195987610871,7.470813009326974,0.5277023717045137,8.101861268444942,1.4103106298287131,3.265193569303272,1.1899910483081404,31.0,0.0,29.0,0.0,4.520198310211566,1.192290673582186,4.405711489855397,1.2023704337762944,1.7067820001681877,0.047082847202583,5.026291093111003,0.8966065008641606,0.92,0.0,0.01,0.01,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.0,0.97,0.0,0.0,0.0,2,0,0.017564291468775806,1,0,1
9,9,0.5960057292702164,0.3825310826736506,7.288851819533179,0.9803516659123428,7.850791250479943,1.9402844978446323,3.850651176768504,1.9229281067702015,30.38,4.36186411822498,28.42,4.0804535299524005,4.062801500982679,2.0185183510691957,3.733614862017289,1.7983877659238194,1.7076175774556572,0.0702507530474732,4.974850145412628,1.1817951781386125,0.81,0.0,0.06,0.02,0.04,0.06,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.09,0.0,0.89,0.02,0.0,0.0,3,0,0.08572709242175836,1,0,0
